AdjID,Date,Description,TaxTreatment,AccountingAmount_AED,AdjustmentDirection
CT-10023,2025-12-10,Fines & Penalties,Fully Disallowed,52005.97,Add
CT-10024,2025-12-16,Interest Income - Related Party,Related Party Adj.,41837.73,Deduct
CT-10025,2025-12-05,Entertainment Expense,Disallowed 50%,15440.03,Add
CT-10026,2025-12-21,Entertainment Expense,Disallowed 50%,20126.94,Add
CT-10027,2025-12-09,Depreciation - Accounting,Add Back,45675.39,Add
CT-10028,2025-12-10,Donations - Non Qualifying,Fully Disallowed,49661.75,Add
CT-10029,2025-12-02,Depreciation - Accounting,Add Back,10125.67,Add
CT-10030,2025-12-28,Provision for Doubtful Debts (unrealized),Add Back,25521.35,Add
CT-10031,2025-12-10,Entertainment Expense,Disallowed 50%,55018.51,Add
CT-10032,2025-12-01,Provision for Doubtful Debts (unrealized),Add Back,1629.3,Add
CT-10033,2025-12-07,Related Party Management Fee,Transfer Pricing Adj.,20937.68,Add
CT-10034,2025-12-12,Client Entertainment,Disallowed 50%,17088.46,Add
CT-10035,2025-12-15,Depreciation - Tax (per schedule),Deduct,65342.85,Deduct
CT-10036,2025-12-02,Interest Income - Related Party,Related Party Adj.,21680.19,Deduct
CT-10037,2025-12-05,UAE Government Grant Income,Exempt Income,32911.83,Add
CT-10038,2025-12-22,Related Party Management Fee,Transfer Pricing Adj.,46783.83,Add
CT-10039,2025-12-12,Donations - Non Qualifying,Fully Disallowed,41186.93,Add
CT-10040,2025-12-23,Provision for Doubtful Debts (unrealized),Add Back,51708.87,Add
CT-10041,2025-12-03,Bad Debts Written Off (realized),Deduct,10176.71,Deduct
CT-10042,2025-12-25,Bad Debts Written Off (realized),Deduct,26621.9,Deduct
CT-10043,2025-12-26,Client Entertainment,Disallowed 50%,48766.4,Add
CT-10044,2025-12-18,Interest Income - Related Party,Related Party Adj.,60766.28,Deduct
CT-10045,2025-12-23,Interest Income - Related Party,Related Party Adj.,38361.99,Deduct
CT-10046,2025-12-27,Exempt Dividend Income,Exempt Income,61763.83,Add
CT-10047,2025-12-16,Bad Debts Written Off (realized),Deduct,34158.58,Deduct
CT-10048,2025-12-12,UAE Government Grant Income,Exempt Income,30623.97,Add
CT-10049,2025-12-16,Client Entertainment,Disallowed 50%,15979.55,Add
CT-10050,2025-12-05,Bad Debts Written Off (realized),Deduct,45142.74,Deduct
CT-10051,2025-12-03,Donations - Non Qualifying,Fully Disallowed,41830.35,Add
CT-10052,2025-12-08,Exempt Dividend Income,Exempt Income,66068.93,Add
CT-10053,2025-12-21,Interest Income - Related Party,Related Party Adj.,31855.36,Deduct
CT-10054,2025-12-17,Fines & Penalties,Fully Disallowed,4274.36,Add
CT-10055,2025-12-09,Bad Debts Written Off (realized),Deduct,16450.84,Deduct
CT-10056,2025-12-09,Depreciation - Tax (per schedule),Deduct,9274.45,Deduct
CT-10057,2025-12-17,Depreciation - Tax (per schedule),Deduct,24215.24,Deduct
CT-10058,2025-12-26,Provision for Doubtful Debts (unrealized),Add Back,63304.62,Add
CT-10059,2025-12-26,Client Entertainment,Disallowed 50%,44405.83,Add
CT-10060,2025-12-08,Bad Debts Written Off (realized),Deduct,56581.9,Deduct
CT-10061,2025-12-18,Depreciation - Accounting,Add Back,9045.7,Add
CT-10062,2025-12-19,Related Party Management Fee,Transfer Pricing Adj.,3536.3,Add
CT-10063,2025-12-10,Related Party Management Fee,Transfer Pricing Adj.,28282.19,Add
CT-10064,2025-12-08,UAE Government Grant Income,Exempt Income,46542.83,Add
CT-10065,2025-12-04,Related Party Management Fee,Transfer Pricing Adj.,43639.83,Add
CT-10066,2025-12-26,Depreciation - Tax (per schedule),Deduct,59778.79,Deduct
CT-10067,2025-12-20,Depreciation - Tax (per schedule),Deduct,35414.92,Deduct
CT-10068,2025-12-04,Donations - Non Qualifying,Fully Disallowed,61826.98,Add
CT-10069,2025-12-08,Exempt Dividend Income,Exempt Income,43897.74,Add
CT-10070,2025-12-05,Related Party Management Fee,Transfer Pricing Adj.,27521.29,Add
CT-10071,2025-12-09,Entertainment Expense,Disallowed 50%,25552.86,Add
CT-10072,2025-12-25,Depreciation - Accounting,Add Back,41463.22,Add
CT-10073,2025-12-15,Donations - Non Qualifying,Fully Disallowed,40304.69,Add
CT-10074,2025-12-11,Client Entertainment,Disallowed 50%,46339.1,Add
CT-10075,2025-12-14,Depreciation - Accounting,Add Back,3567.93,Add
CT-10076,2025-12-28,Donations - Non Qualifying,Fully Disallowed,35851.38,Add
CT-10077,2025-12-01,Provision for Doubtful Debts (unrealized),Add Back,61110.96,Add
CT-10078,2025-12-24,Fines & Penalties,Fully Disallowed,66478.56,Add
CT-10079,2025-12-03,Bad Debts Written Off (realized),Deduct,65575.01,Deduct
CT-10080,2025-12-18,Depreciation - Tax (per schedule),Deduct,14615.12,Deduct
CT-10081,2025-12-02,Related Party Management Fee,Transfer Pricing Adj.,20060.48,Add
CT-10082,2025-12-12,Related Party Management Fee,Transfer Pricing Adj.,61039.25,Add
CT-10083,2025-12-24,Related Party Management Fee,Transfer Pricing Adj.,44650.58,Add
CT-10084,2025-12-22,Depreciation - Tax (per schedule),Deduct,51758.15,Deduct
CT-10085,2025-12-25,Depreciation - Tax (per schedule),Deduct,19254.17,Deduct
CT-10086,2025-12-17,Entertainment Expense,Disallowed 50%,31436.68,Add
CT-10087,2025-12-14,UAE Government Grant Income,Exempt Income,40966.52,Add
CT-10088,2025-12-17,Bad Debts Written Off (realized),Deduct,32620.94,Deduct
CT-10089,2025-12-26,Exempt Dividend Income,Exempt Income,37280.1,Add
CT-10090,2025-12-06,Interest Income - Related Party,Related Party Adj.,63154.05,Deduct
